# _root_ In a strongly worded response summarizing a filing made in the same court yesterday , GE asserted that `` prosecutors have misstated the testimony of witnesses , distorted documents and ignored important facts . ''
#goldHeads=17,5,4,5,1,5,8,6,8,9,13,13,10,9,17,17,0,21,21,21,17,30,24,22,24,25,30,30,28,21,30,33,31,17,17,
#predictedHeads=17,5,4,5,1,5,8,6,8,9,13,13,10,17,17,17,0,21,21,21,17,21,24,22,24,25,22,30,28,22,30,33,31,17,17,
(0,1),-1.82595 # DEPENDENCYPART_ARC
(0,2),-2.44356 # DEPENDENCYPART_ARC
(0,3),-2.48808 # DEPENDENCYPART_ARC
(0,4),-2.1682 # DEPENDENCYPART_ARC
(0,5),-2.82331 # DEPENDENCYPART_ARC
(0,6),-2.22999 # DEPENDENCYPART_ARC
(0,9),-2.36412 # DEPENDENCYPART_ARC
(0,17),-2.85805 # DEPENDENCYPART_ARC
(0,21),-3.39609 # DEPENDENCYPART_ARC
(0,22),-3.85666 # DEPENDENCYPART_ARC
(0,28),-3.36786 # DEPENDENCYPART_ARC
(0,30),-2.08233 # DEPENDENCYPART_ARC
(0,31),-3.70632 # DEPENDENCYPART_ARC
(1,2),0.180053 # DEPENDENCYPART_ARC
(1,3),-1.02297 # DEPENDENCYPART_ARC
(1,4),-1.03965 # DEPENDENCYPART_ARC
(1,5),-1.03982 # DEPENDENCYPART_ARC
(1,6),-1.52029 # DEPENDENCYPART_ARC
(1,8),-1.90171 # DEPENDENCYPART_ARC
(2,1),-0.424842 # DEPENDENCYPART_ARC
(2,3),-0.430216 # DEPENDENCYPART_ARC
(2,4),-0.955621 # DEPENDENCYPART_ARC
(3,1),-1.66705 # DEPENDENCYPART_ARC
(3,2),-0.525785 # DEPENDENCYPART_ARC
(3,4),0.0623368 # DEPENDENCYPART_ARC
(3,5),-0.834179 # DEPENDENCYPART_ARC
(3,6),-1.04581 # DEPENDENCYPART_ARC
(3,8),-1.33881 # DEPENDENCYPART_ARC
(4,1),-1.01728 # DEPENDENCYPART_ARC
(4,2),-1.41693 # DEPENDENCYPART_ARC
(4,3),0.26009 # DEPENDENCYPART_ARC
(4,5),0.0373669 # DEPENDENCYPART_ARC
(4,6),-0.542973 # DEPENDENCYPART_ARC
(4,8),-1.51406 # DEPENDENCYPART_ARC
(4,9),-1.69836 # DEPENDENCYPART_ARC
(4,10),-2.02533 # DEPENDENCYPART_ARC
(4,14),-1.60113 # DEPENDENCYPART_ARC
(4,21),-2.1548 # DEPENDENCYPART_ARC
(4,34),-2.20937 # DEPENDENCYPART_ARC
(5,1),-1.30383 # DEPENDENCYPART_ARC
(5,2),-0.740944 # DEPENDENCYPART_ARC
